id,name,belongs_to,day_of_week,totala,totalf,acc,error
142660,1036 Silver Spring,1/2/2022,7,89,,,
142671,1046 Kingstowne,1/2/2022,7,55,,,
142762,1014 Columbia Heights,1/2/2022,7,702.12,,,
142680,1042 Bradlee,1/2/2022,7,1068.74,,,
142681,1020 Tysons,1/2/2022,7,420.65,,,
142671,1046 Kingstowne,1/2/2022,7,1050.45,,,
142686,1041 VCU,1/2/2022,7,1466.21,,,
142686,1041 VCU,1/2/2022,7,1334.98,,,
142671,1046 Kingstowne,1/2/2022,7,1113.4,,,
142683,1026 UPenn,1/2/2022,7,869.87,,,
142683,1026 UPenn,1/2/2022,7,41,,,
142700,1023 Astor Place,1/2/2022,7,677.46,,,
142700,1023 Astor Place,1/2/2022,7,36,,,
142660,1036 Silver Spring,1/2/2022,7,190,,,
142705,1002 U Street,1/2/2022,7,89,,,
142676,1053 Navy Yard,1/2/2022,7,2265.51,,,
142660,1036 Silver Spring,1/2/2022,7,1772.11,,,
142675,1006 Germantown,1/2/2022,7,1571.51,,,
142672,1049 Woodbridge,1/2/2022,7,1094.59,,,
142705,1002 U Street,1/2/2022,7,1626.5,,,
142675,1006 Germantown,1/2/2022,7,1510.56,,,
142705,1002 U Street,1/2/2022,7,1458.5,,,
142675,1006 Germantown,1/2/2022,7,164,,,
142676,1053 Navy Yard,1/2/2022,7,117,,,
142705,1002 U Street,1/2/2022,7,177,,,
142672,1049 Woodbridge,1/2/2022,7,57,,,
142659,1010 Springfield,1/2/2022,7,61,,,
142702,1059 Rosslyn,1/2/2022,7,115,,,
142760,1043 Willow Lawn,1/2/2022,7,397.23,,,
142702,1059 Rosslyn,1/2/2022,7,1099.99,,,
142685,1040 Charles Village,1/2/2022,7,1015.99,,,
142685,1040 Charles Village,1/2/2022,7,119,,,
142685,1040 Charles Village,1/2/2022,7,1131.39,,,
142685,1040 Charles Village,1/2/2022,7,65,,,
142679,1003 Brookland,1/2/2022,7,22,,,
142679,1003 Brookland,1/2/2022,7,242.05,,,
142675,1006 Germantown,1/2/2022,7,75,,,
142681,1020 Tysons,1/2/2022,7,442.23,,,
142680,1042 Bradlee,1/2/2022,7,58,,,
142687,1004 Bethesda,1/2/2022,7,594.05,,,
142680,1042 Bradlee,1/2/2022,7,121,,,
142680,1042 Bradlee,1/2/2022,7,1151.35,,,
142681,1020 Tysons,1/2/2022,7,25,,,
142681,1020 Tysons,1/2/2022,7,50,,,
142672,1049 Woodbridge,1/2/2022,7,1030.64,,,
142698,1015 Federal Hill,1/2/2022,7,89,,,
142698,1015 Federal Hill,1/2/2022,7,165,,,
142698,1015 Federal Hill,1/2/2022,7,1500.97,,,
142707,1031 Fair Oaks,1/2/2022,7,8,,,
142707,1031 Fair Oaks,1/2/2022,7,9,,,
142698,1015 Federal Hill,1/2/2022,7,1566.92,,,
142707,1031 Fair Oaks,1/2/2022,7,21.58,,,
142687,1004 Bethesda,1/2/2022,7,58,,,
142692,1048 Seven Corners,1/2/2022,7,84,,,
142707,1031 Fair Oaks,1/2/2022,7,21.58,,,
142699,1017 Georgetown,1/2/2022,7,21,,,
142699,1017 Georgetown,1/2/2022,7,37,,,
142699,1017 Georgetown,1/2/2022,7,325.26,,,
142692,1048 Seven Corners,1/2/2022,7,43,,,
142687,1004 Bethesda,1/2/2022,7,31,,,
142702,1059 Rosslyn,1/2/2022,7,998.59,,,
142684,1008 Pike + Rose,1/2/2022,7,61,,,
142684,1008 Pike + Rose,1/2/2022,7,1196.64,,,
142684,1008 Pike + Rose,1/2/2022,7,121,,,
142690,1005 Gaithersburg,1/2/2022,7,794.09,,,
142684,1008 Pike + Rose,1/2/2022,7,1086.95,,,
142656,1025 Ballston,1/2/2022,7,220,,,
142674,1037 Jersey City,1/2/2022,7,1194.06,,,
142674,1037 Jersey City,1/2/2022,7,129,,,
142674,1037 Jersey City,1/2/2022,7,1259.44,,,
142674,1037 Jersey City,1/2/2022,7,61,,,
142656,1025 Ballston,1/2/2022,7,1920.83,,,
142656,1025 Ballston,1/2/2022,7,2130.06,,,
142656,1025 Ballston,1/2/2022,7,118,,,
142690,1005 Gaithersburg,1/2/2022,7,912.49,,,
142659,1010 Springfield,1/2/2022,7,1025.26,,,
142659,1010 Springfield,1/2/2022,7,121,,,
142659,1010 Springfield,1/2/2022,7,1187.9,,,
142690,1005 Gaithersburg,1/2/2022,7,98,,,
142690,1005 Gaithersburg,1/2/2022,7,45,,,
142699,1017 Georgetown,1/2/2022,7,293.18,,,
142696,1047 College Park,1/2/2022,7,106.57,,,
142661,1018 Rittenhouse,1/2/2022,7,86,,,
142661,1018 Rittenhouse,1/2/2022,7,1719.08,,,
142696,1047 College Park,1/2/2022,7,18,,,
142661,1018 Rittenhouse,1/2/2022,7,185,,,
142657,1027 Potomac Yard,1/2/2022,7,141,,,
142694,1032 Can Company,1/2/2022,7,998.44,,,
142694,1032 Can Company,1/2/2022,7,104,,,
142694,1032 Can Company,1/2/2022,7,1101.76,,,
142694,1032 Can Company,1/2/2022,7,67,,,
142661,1018 Rittenhouse,1/2/2022,7,1675.92,,,
142701,1058 Bel Air,1/2/2022,7,59,,,
142683,1026 UPenn,1/2/2022,7,738.76,,,
142701,1058 Bel Air,1/2/2022,7,528.92,,,
142696,1047 College Park,1/2/2022,7,155.52,,,
142683,1026 UPenn,1/2/2022,7,85,,,
142696,1047 College Park,1/2/2022,7,14,,,
142701,1058 Bel Air,1/2/2022,7,489.76,,,
142701,1058 Bel Air,1/2/2022,7,24,,,
142692,1048 Seven Corners,1/2/2022,7,830.02,,,
142692,1048 Seven Corners,1/2/2022,7,730.12,,,
142686,1041 VCU,1/2/2022,7,79,,,
142657,1027 Potomac Yard,1/2/2022,7,1303.82,,,
142657,1027 Potomac Yard,1/2/2022,7,1211.17,,,
142657,1027 Potomac Yard,1/2/2022,7,76,,,
142678,1028 Reston,1/2/2022,7,54,,,
142678,1028 Reston,1/2/2022,7,836.45,,,
142691,1051 Carlyle,1/2/2022,7,162,,,
142691,1051 Carlyle,1/2/2022,7,1643.68,,,
142662,1021 Nomad,1/2/2022,7,8,,,
142662,1021 Nomad,1/2/2022,7,252.59,,,
142662,1021 Nomad,1/2/2022,7,29,,,
142662,1021 Nomad,1/2/2022,7,204.63,,,
142695,1013 Dupont,1/2/2022,7,196.74,,,
142700,1023 Astor Place,1/2/2022,7,636,,,
142691,1051 Carlyle,1/2/2022,7,1597.7,,,
142695,1013 Dupont,1/2/2022,7,20,,,
142682,1011 Barracks Row,1/2/2022,7,134,,,
142695,1013 Dupont,1/2/2022,7,213.32,,,
142695,1013 Dupont,1/2/2022,7,13,,,
142678,1028 Reston,1/2/2022,7,787.29,,,
